datetime,sizeMB,customer,server,_measurement
2024-10-10 11:00:32,651.01,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:01:32,635.54,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:02:32,665.87,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:03:32,688.93,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:04:32,657.59,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:05:32,679.05,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:06:32,686.69,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:07:32,685.68,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:08:32,655.49,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:09:32,729.05,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:10:32,724.73,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:11:33,676.71,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:12:33,700.22,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:13:33,717.08,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:14:33,706.77,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:15:33,741.31,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:16:33,692.38,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:17:33,693.61,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:18:33,695.73,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:19:33,681.09,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:20:33,642.75,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:21:33,701.14,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:22:33,757.27,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:23:33,739.95,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:24:33,652.58,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:25:33,710.16,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:26:33,746.86,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:27:33,703.33,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:28:34,701.36,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:29:34,736.44,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:30:34,689.01,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:31:34,694.44,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:32:34,718.07,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:33:34,701.49,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:34:34,676.49,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:35:34,700.71,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:36:34,722.16,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 11:37:34,756.28,WilliamHill,gibux341.prod.williamhill.plc,vpcache
